adc_value desired_adc_value voltage desired_voltage
590 642 1901,613 2070,968
591 643 1905,484 2074,194
591 644 1907,903 2077,42
589 645 1899,194 2080,645
594 646 1914,839 2083,871
594 647 1917,419 2087,097
595 648 1919,194 2090,322
597 649 1924,516 2093,548
597 650 1925,806 2096,774
598 651 1930,161 2100,0
600 652 1933,871 2103,226
600 653 1936,774 2106,452
601 654 1939,516 2109,678
603 655 1944,516 2112,903
604 656 1946,774 2116,129
604 657 1948,709 2119,355
605 658 1952,742 2122,581
606 659 1954,677 2125,807
608 660 1960,645 2129,032
608 661 1961,613 2132,258
609 662 1963,226 2135,484
610 663 1967,581 2138,71
611 664 1971,129 2141,936
612 665 1973,548 2145,161
613 666 1978,871 2148,387
614 667 1979,355 2151,613
615 668 1985,0 2154,839
616 669 1986,613 2158,065
612 670 1974,032 2161,29
618 671 1992,903 2164,516
619 672 1995,645 2167,742
620 673 1998,548 2170,968
620 674 2001,613 2174,194
622 675 2005,645 2177,419
623 676 2009,032 2180,645
624 677 2013,065 2183,871
625 678 2014,839 2187,097
626 679 2017,903 2190,323
626 680 2020,968 2193,548
627 681 2023,871 2196,774
628 682 2025,323 2200,0
631 683 2035,0 2203,226
630 684 2033,71 2206,452
632 685 2037,258 2209,677
632 686 2039,355 2212,903
633 687 2040,807 2216,129
634 688 2045,645 2219,355
635 689 2049,516 2222,581
637 690 2054,355 2225,806
638 691 2057,42 2229,032
639 692 2060,806 2232,258
640 693 2066,129 2235,484
640 694 2065,484 2238,71
642 695 2072,419 2241,935
643 696 2075,645 2245,161
638 697 2059,516 2248,387
646 698 2082,903 2251,613
645 699 2080,161 2254,839
647 700 2088,226 2258,065
649 701 2093,065 2261,29
649 702 2094,839 2264,516
651 703 2099,516 2267,742
648 704 2090,322 2270,968
651 705 2098,871 2274,194
653 706 2106,936 2277,42
654 707 2111,29 2280,645
656 708 2116,774 2283,871
656 709 2116,29 2287,097
657 710 2118,387 2290,323
658 711 2122,419 2293,548
659 712 2126,613 2296,774
660 713 2129,194 2300,0
661 714 2131,29 2303,226
662 715 2136,935 2306,452
661 716 2132,419 2309,678
664 717 2143,387 2312,903
666 718 2146,935 2316,129
666 719 2148,871 2319,355
668 720 2153,226 2322,581
668 721 2154,839 2325,806
669 722 2158,548 2329,032
670 723 2162,419 2332,258
670 724 2161,774 2335,484
679 725 2191,774 2338,71
673 726 2170,484 2341,936
674 727 2175,323 2345,161
674 728 2175,484 2348,387
676 729 2181,452 2351,613
677 730 2184,194 2354,839
678 731 2187,742 2358,064
679 732 2191,29 2361,29
680 733 2194,355 2364,516
681 734 2197,742 2367,742
683 735 2201,774 2370,968
683 736 2202,904 2374,194
684 737 2205,0 2377,419
685 738 2209,516 2380,645
686 739 2214,194 2383,871
687 740 2216,936 2387,097
688 741 2220,484 2390,322
689 742 2223,064 2393,548
689 743 2223,064 2396,774
692 744 2230,645 2400,0
689 745 2221,613 2403,226
693 746 2234,032 2406,452
695 747 2241,452 2409,678
695 748 2242,258 2412,903
700 749 2258,387 2416,129
698 750 2251,936 2419,355
698 751 2250,968 2422,58
700 752 2256,613 2425,807
700 753 2259,194 2429,032
695 754 2241,29 2432,258
702 755 2265,968 2435,484
705 756 2274,194 2438,71
704 757 2271,129 2441,936
706 758 2276,936 2445,161
706 759 2275,806 2448,387
707 760 2281,613 2451,613
710 761 2288,871 2454,839
710 762 2289,677 2458,065
710 763 2291,936 2461,29
712 764 2296,29 2464,516
713 765 2300,645 2467,742
714 766 2304,677 2470,968
715 767 2305,161 2474,194
714 768 2302,903 2477,42
717 769 2314,193 2480,645
718 770 2316,613 2483,871
719 771 2320,323 2487,097
720 772 2323,226 2490,323
720 773 2323,71 2493,548
723 774 2331,129 2496,774
723 775 2332,903 2500,0
725 776 2338,387 2503,226
724 777 2336,936 2506,452
727 778 2346,452 2509,678
727 779 2345,645 2512,903
729 780 2350,645 2516,129
730 781 2354,193 2519,355
726 782 2341,452 2522,581
731 783 2359,516 2525,806
733 784 2365,161 2529,032
735 785 2370,0 2532,258
734 786 2367,258 2535,484
735 787 2371,613 2538,71
736 788 2375,484 2541,936
737 789 2377,903 2545,161
739 790 2383,71 2548,387
749 791 2415,0 2551,613
741 792 2390,968 2554,839
742 793 2394,677 2558,064
743 794 2395,484 2561,29
745 795 2401,774 2564,516
747 796 2408,71 2567,742
748 797 2411,613 2570,968
747 798 2410,968 2574,194
740 799 2386,451 2577,419
750 800 2420,0 2580,645
752 801 2424,678 2583,871
752 802 2426,936 2587,097
753 803 2427,742 2590,322
755 804 2436,935 2593,548
755 805 2436,29 2596,774
756 806 2438,064 2600,0
758 807 2445,323 2603,226
759 808 2449,516 2606,452
761 809 2456,29 2609,678
768 810 2476,29 2612,903
762 811 2457,903 2616,129
764 812 2463,871 2619,355
765 813 2466,936 2622,581
766 814 2470,322 2625,807
768 815 2478,387 2629,032
768 816 2477,42 2632,258
770 817 2483,71 2635,484
770 818 2485,162 2638,71
773 819 2492,581 2641,936
774 820 2495,806 2645,161
784 821 2530,645 2648,387
777 822 2505,484 2651,613
777 823 2506,29 2654,839
780 824 2515,322 2658,065
780 825 2516,613 2661,29
784 826 2529,194 2664,516
782 827 2522,581 2667,742
784 828 2528,71 2670,968
784 829 2529,516 2674,194
786 830 2534,032 2677,419
787 831 2538,71 2680,645
788 832 2540,323 2683,871
789 833 2544,839 2687,097
790 834 2549,194 2690,323
791 835 2551,774 2693,548
792 836 2555,645 2696,774
791 837 2550,807 2700,0
795 838 2564,032 2703,226
796 839 2568,064 2706,452
798 840 2573,548 2709,677
799 841 2576,452 2712,903
806 842 2600,0 2716,129
804 843 2594,355 2719,355
802 844 2585,484 2722,581
803 845 2590,806 2725,806
804 846 2594,193 2729,032
806 847 2601,129 2732,258
808 848 2606,29 2735,484
809 849 2609,032 2738,71
810 850 2611,613 2741,935
812 851 2618,71 2745,161
812 852 2620,0 2748,387
814 853 2624,839 2751,613
815 854 2629,516 2754,839
817 855 2635,0 2758,065
822 856 2652,258 2761,29
820 857 2644,516 2764,516
821 858 2647,258 2767,742
822 859 2652,258 2770,968
824 860 2659,194 2774,194
825 861 2660,968 2777,419
827 862 2668,387 2780,645
828 863 2670,322 2783,871
828 864 2671,613 2787,097
830 865 2677,581 2790,323
841 866 2712,097 2793,548
833 867 2687,097 2796,774
835 868 2692,58 2800,0
835 869 2694,032 2803,226
840 870 2709,355 2806,452
842 871 2714,678 2809,678
841 872 2712,903 2812,903
840 873 2708,387 2816,129
855 874 2756,613 2819,355
841 875 2713,226 2822,581
846 876 2729,355 2825,806
850 877 2743,548 2829,032
851 878 2746,452 2832,258
849 879 2738,387 2835,484
852 880 2750,0 2838,71
855 881 2758,871 2841,936
858 882 2766,774 2845,161
857 883 2765,806 2848,387
849 884 2740,161 2851,613
860 885 2773,871 2854,839
865 886 2789,839 2858,064
864 887 2788,71 2861,29
863 888 2783,226 2864,516
859 889 2771,452 2867,742
869 890 2803,71 2870,968
865 891 2791,29 2874,194
870 892 2807,903 2877,419
874 893 2819,032 2880,645
881 894 2840,484 2883,871
872 895 2814,032 2887,097
881 896 2840,806 2890,322
870 897 2805,0 2893,548
875 898 2821,774 2896,774
881 899 2842,742 2900,0
880 900 2837,742 2903,226
